T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss
239.99500000 0.00000000 0.00000000 240.00000000 0.00000000 0.00000000 77.7390000000 91.9082000000 35.0228000000 149 2024-01-11 04:10:46
245.00180000 0.00000000 0.00000000 245.00000000 0.00000000 0.00000000 76.2720000000 90.0896000000 34.6242000000 150 2024-01-11 04:16:29
249.99400000 0.00000000 0.00000000 250.00000000 0.00000000 0.00000000 74.8386000000 88.3122000000 34.2310000000 151 2024-01-11 04:22:10
254.99400000 0.00000000 0.00000000 255.00000000 0.00000000 0.00000000 73.4880000000 86.6440000000 33.8582000000 152 2024-01-11 04:27:50
259.99320000 0.00000000 0.00000000 260.00000000 0.00000000 0.00000000 72.1640000000 85.0084000000 33.4910000000 153 2024-01-11 04:33:28
264.99680000 0.00000000 0.00000000 265.00000000 0.00000000 0.00000000 70.9140000000 83.4686000000 33.1420000000 154 2024-01-11 04:39:05
269.99580000 0.00000000 0.00000000 270.00000000 0.00000000 0.00000000 69.6880000000 81.9562000000 32.7974000000 155 2024-01-11 04:44:41
274.99140000 0.00000000 0.00000000 275.00000000 0.00000000 0.00000000 68.5330000000 80.5330000000 32.4700000000 156 2024-01-11 04:50:15
279.98740000 0.00000000 0.00000000 280.00000000 0.00000000 0.00000000 67.3990000000 79.1354000000 32.1480000000 157 2024-01-11 04:55:47
284.98860000 0.00000000 0.00000000 285.00000000 0.00000000 0.00000000 66.3240000000 77.8162000000 31.8410000000 158 2024-01-11 05:01:19
289.98420000 0.00000000 0.00000000 290.00000000 0.00000000 0.00000000 65.2686000000 76.5224000000 31.5370000000 159 2024-01-11 05:06:49
295.01040000 0.00000000 0.00000000 295.00000000 0.00000000 0.00000000 64.2640000000 75.2892000000 31.2466000000 160 2024-01-11 05:14:16
300.01300000 0.00000000 0.00000000 300.00000000 0.00000000 0.00000000 63.2810000000 74.0846000000 30.9614000000 161 2024-01-11 05:21:53
305.00920000 0.00000000 0.00000000 305.00000000 0.00000000 0.00000000 62.3500000000 72.9462000000 30.6900000000 162 2024-01-11 05:29:14
310.00360000 0.00000000 0.00000000 310.00000000 0.00000000 0.00000000 61.4340000000 71.8280000000 30.4212000000 163 2024-01-11 05:36:34
315.00940000 0.00000000 0.00000000 315.00000000 0.00000000 0.00000000 60.5510000000 70.7498000000 30.1606000000 164 2024-01-11 05:44:00
315.01520000 0.00000000 0.00000000 315.00000000 0.00000000 0.00000000 60.5500000000 70.7488000000 30.1612000000 1 2024-01-11 05:44:43
309.99720000 0.00000000 0.00000000 310.00000000 0.00000000 0.00000000 61.4352000000 71.8218000000 30.4218000000 2 2024-01-11 05:52:16
304.97100000 0.00000000 0.00000000 305.00000000 0.00000000 0.00000000 62.3570000000 72.9440000000 30.6914000000 3 2024-01-11 05:58:38
300.01560000 0.00000000 0.00000000 300.00000000 0.00000000 0.00000000 63.2808000000 74.0684000000 30.9604000000 4 2024-01-11 06:04:33
295.00460000 0.00000000 0.00000000 295.00000000 0.00000000 0.00000000 64.2650000000 75.2718000000 31.2466000000 5 2024-01-11 06:10:31
290.00320000 0.00000000 0.00000000 290.00000000 0.00000000 0.00000000 65.2646000000 76.4918000000 31.5348000000 6 2024-01-11 06:16:33
285.00320000 0.00000000 0.00000000 285.00000000 0.00000000 0.00000000 66.3210000000 77.7846000000 31.8384000000 7 2024-01-11 06:22:35
280.00340000 0.00000000 0.00000000 280.00000000 0.00000000 0.00000000 67.3950000000 79.1012000000 32.1462000000 8 2024-01-11 06:28:41
274.99660000 0.00000000 0.00000000 275.00000000 0.00000000 0.00000000 68.5320000000 80.4966000000 32.4690000000 9 2024-01-11 06:34:46
269.99980000 0.00000000 0.00000000 270.00000000 0.00000000 0.00000000 69.6870000000 81.9152000000 32.7960000000 10 2024-01-11 06:40:54
264.99980000 0.00000000 0.00000000 265.00000000 0.00000000 0.00000000 70.9130000000 83.4244000000 33.1402000000 11 2024-01-11 06:47:04
259.98900000 0.00000000 0.00000000 260.00000000 0.00000000 0.00000000 72.1650000000 84.9658000000 33.4906000000 12 2024-01-11 06:53:20
254.99820000 0.00000000 0.00000000 255.00000000 0.00000000 0.00000000 73.4870000000 86.5962000000 33.8570000000 13 2024-01-11 06:59:36
249.98700000 0.00000000 0.00000000 250.00000000 0.00000000 0.00000000 74.8406000000 88.2692000000 34.2304000000 14 2024-01-11 07:05:59
244.98600000 0.00000000 0.00000000 245.00000000 0.00000000 0.00000000 76.2768000000 90.0476000000 34.6236000000 15 2024-01-11 07:12:21
239.98900000 0.00000000 0.00000000 240.00000000 0.00000000 0.00000000 77.7408000000 91.8598000000 35.0218000000 16 2024-01-11 07:18:49
234.99480000 0.00000000 0.00000000 235.00000000 0.00000000 0.00000000 79.2970000000 93.7928000000 35.4420000000 17 2024-01-11 07:25:13
229.99020000 0.00000000 0.00000000 230.00000000 0.00000000 0.00000000 80.8900000000 95.7728000000 35.8688000000 18 2024-01-11 07:31:46
224.98400000 0.00000000 0.00000000 225.00000000 0.00000000 0.00000000 82.5900000000 97.8846000000 36.3210000000 19 2024-01-11 07:38:20
219.99420000 0.00000000 0.00000000 220.00000000 0.00000000 0.00000000 84.3210000000 100.0458000000 36.7770000000 20 2024-01-11 07:45:01
214.99440000 0.00000000 0.00000000 215.00000000 0.00000000 0.00000000 86.1764000000 102.3624000000 37.2618000000 21 2024-01-11 07:51:44
209.99000000 0.00000000 0.00000000 210.00000000 0.00000000 0.00000000 88.0760000000 104.7394000000 37.7552000000 22 2024-01-11 07:58:24
204.98220000 0.00000000 0.00000000 205.00000000 0.00000000 0.00000000 90.1112000000 107.2850000000 38.2758000000 23 2024-01-11 08:05:19
