T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss.ccccc
9.77732000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1103.5000000000 1782.4700000000 143.6586000000 93 2024-01-10 18:48:04
9.74908000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1106.1160000000 1787.2580000000 143.8088000000 94 2024-01-10 18:48:07
9.72356000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1108.4660000000 1791.8640000000 143.9532000000 95 2024-01-10 18:48:11
9.69694000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1110.9720000000 1796.5740000000 144.1004000000 96 2024-01-10 18:48:14
9.66990000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1113.4760000000 1801.4740000000 144.2528000000 97 2024-01-10 18:48:17
9.64106000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1116.1580000000 1806.8020000000 144.4186000000 98 2024-01-10 18:48:20
9.61134000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1118.9660000000 1811.9700000000 144.5790000000 99 2024-01-10 18:48:24
9.58660000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1121.2760000000 1816.2380000000 144.7120000000 100 2024-01-10 18:48:27
9.56366000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1123.4200000000 1820.5280000000 144.8432000000 101 2024-01-10 18:48:30
9.53602000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1126.0600000000 1825.8700000000 145.0106000000 102 2024-01-10 18:48:34
9.50392000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1129.0780000000 1831.7300000000 145.1900000000 103 2024-01-10 18:48:37
9.47256000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1132.0480000000 1837.3020000000 145.3646000000 104 2024-01-10 18:48:40
9.44360000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1134.8120000000 1842.6240000000 145.5242000000 105 2024-01-10 18:48:43
9.41608000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1137.4320000000 1847.5580000000 145.6750000000 106 2024-01-10 18:48:47
9.37316000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1141.5320000000 1856.5060000000 145.9496000000 107 2024-01-10 18:48:50
9.31972000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1146.6860000000 1866.6480000000 146.2568000000 108 2024-01-10 18:48:53
9.26500000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1151.9580000000 1876.6980000000 146.5636000000 109 2024-01-10 18:48:57
9.21832000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1156.7140000000 1885.7300000000 146.8374000000 110 2024-01-10 18:49:00
9.17474000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1161.6180000000 1895.5860000000 147.1304000000 111 2024-01-10 18:49:03
9.12518000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1167.2480000000 1906.6300000000 147.4638000000 112 2024-01-10 18:49:07
9.07642000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1172.7420000000 1917.2480000000 147.7808000000 113 2024-01-10 18:49:10
9.02780000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1178.2080000000 1927.7200000000 148.0936000000 114 2024-01-10 18:49:13
8.97902000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1183.8260000000 1938.9680000000 148.4266000000 115 2024-01-10 18:49:16
8.92414000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1190.1420000000 1951.3480000000 148.7940000000 116 2024-01-10 18:49:20
8.86882000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1196.5840000000 1964.1300000000 149.1750000000 117 2024-01-10 18:49:23
8.81142000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1203.2480000000 1976.8860000000 149.5454000000 118 2024-01-10 18:49:26
